event_id,event_ts,plant,line,shift,machine_id,operator_id,machine_age_yrs,material_grade,temp_c,humidity_pct,process_speed_units_hr,inspection_method,defect_type,defect_severity_0to3,decision_rework,rework_time_min,final_pass,scrap,total_cycle_time_min,energy_kwh,cost_usd,warranty_claim_90d
M200000,2025-08-27 17:15:31,plant_1,line_A,day,MC104,OP1009,1.55,grade_B,5.9,45.5,104.3,manual,none,0,0,0.0,1,0,33.7,1.413,25.53,0
M200001,2025-11-09 16:28:50,plant_1,line_A,swing,MC158,OP1419,1.98,grade_B,11.2,62.5,143.5,vision,none,0,1,0.0,1,0,26.1,1.313,19.81,0
M200002,2025-12-20 06:18:01,plant_1,line_D,night,MC144,OP1042,0.2,grade_B,17.8,67.9,160.0,sensor,none,0,0,0.0,1,0,35.3,1.512,31.75,0
M200003,2025-12-06 12:38:46,plant_2,line_B,night,MC108,OP1013,0.9,grade_B,12.9,69.6,104.6,manual,none,0,0,0.0,1,0,28.5,1.201,21.59,0
M200004,2025-07-31 07:28:14,plant_1,line_C,day,MC113,OP1312,1.92,grade_A,11.7,39.8,109.6,vision,none,0,0,0.0,1,0,28.2,1.372,21.4,0
M200005,2025-08-16 07:27:47,plant_2,line_C,day,MC103,OP1108,6.19,grade_A,10.0,45.7,88.0,manual,none,0,0,0.0,1,0,30.2,1.362,22.9,0
M200006,2025-08-08 07:32:20,plant_2,line_D,day,MC116,OP1124,4.19,grade_B,9.2,40.7,162.9,sensor,none,0,0,0.0,1,0,34.5,1.661,31.17,0
M200007,2025-11-06 12:18:43,plant_1,line_B,night,MC141,OP1061,7.22,grade_B,6.5,53.9,115.2,sensor,none,0,0,0.0,1,0,35.1,1.384,31.57,0
M200008,2025-07-06 12:08:25,plant_3,line_D,day,MC114,OP1134,11.43,grade_B,17.0,48.9,132.8,vision,none,0,0,0.0,1,0,30.3,1.143,22.93,0
M200009,2025-08-22 21:47:52,plant_1,line_D,day,MC118,OP1234,2.98,grade_B,7.6,35.2,165.3,vision,none,0,0,0.0,1,0,31.3,1.3,23.71,0
M200010,2025-09-27 21:26:55,plant_3,line_D,day,MC142,OP1027,7.31,grade_C,9.8,58.1,108.4,sensor,scratch,3,1,40.9,0,1,72.3,1.872,159.56,0
